,relative_path,size_bytes,extension
66,automations/._automations,175,
68,automations/automations/._diagnostics,175,
69,automations/automations/._performance,175,
67,automations/automations/._system,175,
70,automations/automations/._validation,175,
99,automations/automations/climate/._aether_alerts_and_notifications_rewrapped.yaml,274,.yaml
95,automations/automations/climate/._aether_climate_control_rewrapped.yaml,274,.yaml
97,automations/automations/climate/._aether_environment_monitoring_rewrapped.yaml,274,.yaml
87,automations/automations/climate/._aether_humidity_control_rewrapped.yaml,274,.yaml
91,automations/automations/climate/._aether_mode_management_rewrapped.yaml,274,.yaml
89,automations/automations/climate/._aether_shower_humidity_control.yaml,274,.yaml
93,automations/automations/climate/._aether_window_detection_rewrapped.yaml,274,.yaml
100,automations/automations/climate/aether_alerts_and_notifications_rewrapped.yaml,7099,.yaml
96,automations/automations/climate/aether_climate_control_rewrapped.yaml,6716,.yaml
98,automations/automations/climate/aether_environment_monitoring_rewrapped.yaml,439,.yaml
88,automations/automations/climate/aether_humidity_control_rewrapped.yaml,2724,.yaml
92,automations/automations/climate/aether_mode_management_rewrapped.yaml,2398,.yaml
90,automations/automations/climate/aether_shower_humidity_control.yaml,2887,.yaml
94,automations/automations/climate/aether_window_detection_rewrapped.yaml,1747,.yaml
85,automations/automations/diagnostics/._automations_mqtt.yaml,219,.yaml
81,automations/automations/diagnostics/._automations_system_health.yaml,219,.yaml
83,automations/automations/diagnostics/._system_maintenance_routines.yaml,219,.yaml
86,automations/automations/diagnostics/automations_mqtt.yaml,788,.yaml
82,automations/automations/diagnostics/automations_system_health.yaml,9380,.yaml
84,automations/automations/diagnostics/system_maintenance_routines.yaml,3058,.yaml
77,automations/automations/subsystems/._hephaestus_automations.yaml,274,.yaml
73,automations/automations/subsystems/._hermes_automations_combined.yaml,274,.yaml
79,automations/automations/subsystems/._soteria_automations_combined.yaml,274,.yaml
75,automations/automations/subsystems/._theia_automations_combined.yaml,274,.yaml
78,automations/automations/subsystems/hephaestus_automations.yaml,4342,.yaml
74,automations/automations/subsystems/hermes_automations_combined.yaml,4531,.yaml
80,automations/automations/subsystems/soteria_automations_combined.yaml,3685,.yaml
76,automations/automations/subsystems/theia_automations_combined.yaml,1605,.yaml
71,automations/automations/system/._automations_template_monitoring.yaml,274,.yaml
72,automations/automations/system/automations_template_monitoring.yaml,4921,.yaml
103,automations/automations/validation/._automations_breach_handlers.yaml,219,.yaml
105,automations/automations/validation/._automations_tier_chain_validation.yaml,219,.yaml
101,automations/automations/validation/._automations_validator_logging.yaml,219,.yaml
104,automations/automations/validation/automations_breach_handlers.yaml,1399,.yaml
106,automations/automations/validation/automations_tier_chain_validation.yaml,1336,.yaml
102,automations/automations/validation/automations_validator_logging.yaml,5650,.yaml
434,binary_sensors/._binary_sensors,163,
437,binary_sensors/binary_sensors/._beta_connectivity_binary_sensors.yaml,219,.yaml
453,binary_sensors/binary_sensors/._beta_motion_recent.yaml,219,.yaml
441,binary_sensors/binary_sensors/._beta_motion_sensors.yaml,219,.yaml
447,binary_sensors/binary_sensors/._beta_occupancy_msf_fusion.yaml,219,.yaml
457,binary_sensors/binary_sensors/._binary_risk_flags.yaml,163,.yaml
449,binary_sensors/binary_sensors/._cli_binary_sensors.yaml,163,.yaml
455,binary_sensors/binary_sensors/._epsilon_hephaestus_binary_sensors.yaml,219,.yaml
469,binary_sensors/binary_sensors/._eta_aggregated_binary_sensors.yaml,219,.yaml
465,binary_sensors/binary_sensors/._eta_zone_presence.yaml,219,.yaml
461,binary_sensors/binary_sensors/._gamma_battery_critical.yaml,219,.yaml
451,binary_sensors/binary_sensors/._gamma_binary_heating.yaml,389,.yaml
445,binary_sensors/binary_sensors/._gamma_presence_inference.yaml,219,.yaml
443,binary_sensors/binary_sensors/._gamma_subsystem_diagnostics.yaml,163,.yaml
467,binary_sensors/binary_sensors/._gamma_tool_validation.yaml,219,.yaml
471,binary_sensors/binary_sensors/._mu_binary_system_diagnostics.yaml,219,.yaml
435,binary_sensors/binary_sensors/._zeta_binary_error_state.yaml,163,.yaml
463,binary_sensors/binary_sensors/._zeta_home_presence.yaml,219,.yaml
439,binary_sensors/binary_sensors/._zeta_inferred_presence_confidence_sufficient.yaml,219,.yaml
459,binary_sensors/binary_sensors/._zeta_registry_integrity_fault.yaml,163,.yaml
438,binary_sensors/binary_sensors/beta_connectivity_binary_sensors.yaml,1993,.yaml
454,binary_sensors/binary_sensors/beta_motion_recent.yaml,9142,.yaml
442,binary_sensors/binary_sensors/beta_motion_sensors.yaml,14350,.yaml
448,binary_sensors/binary_sensors/beta_occupancy_msf_fusion.yaml,13091,.yaml
458,binary_sensors/binary_sensors/binary_risk_flags.yaml,4075,.yaml
450,binary_sensors/binary_sensors/cli_binary_sensors.yaml,1073,.yaml
456,binary_sensors/binary_sensors/epsilon_hephaestus_binary_sensors.yaml,10806,.yaml
470,binary_sensors/binary_sensors/eta_aggregated_binary_sensors.yaml,6047,.yaml
466,binary_sensors/binary_sensors/eta_zone_presence.yaml,12483,.yaml
462,binary_sensors/binary_sensors/gamma_battery_critical.yaml,1616,.yaml
452,binary_sensors/binary_sensors/gamma_binary_heating.yaml,9299,.yaml
446,binary_sensors/binary_sensors/gamma_presence_inference.yaml,13070,.yaml
444,binary_sensors/binary_sensors/gamma_subsystem_diagnostics.yaml,3764,.yaml
468,binary_sensors/binary_sensors/gamma_tool_validation.yaml,2416,.yaml
472,binary_sensors/binary_sensors/mu_binary_system_diagnostics.yaml,1536,.yaml
436,binary_sensors/binary_sensors/zeta_binary_error_state.yaml,759,.yaml
464,binary_sensors/binary_sensors/zeta_home_presence.yaml,2649,.yaml
440,binary_sensors/binary_sensors/zeta_inferred_presence_confidence_sufficient.yaml,1395,.yaml
460,binary_sensors/binary_sensors/zeta_registry_integrity_fault.yaml,1238,.yaml
1417,config.storage/.storage/assist_pipeline.pipelines,634,.pipelines
1391,config.storage/.storage/auth,23841,
1410,config.storage/.storage/backup,3645,
1406,config.storage/.storage/bluetooth.passive_update_processor,101,.passive_update_processor
1404,config.storage/.storage/cloud,1756,
