room,logic_id,source_file,mode,emitters,macros,actions
ensuite,aether_ensuite_shower_detection,automations/automations/climate/aether_shower_humidity_control.yaml,restart,"['binary_sensor.shower_active', 'sensor.ensuite_humidity_beta']",[],simple_trigger
ensuite,aether_low_temperature_alert,automations/automations/climate/aether_alerts_and_notifications_rewrapped.yaml,single,"['input_boolean.climate_automation_enabled', 'input_boolean.turn_off', 'input_select.home_mode', 'script.turn_on', 'sensor.merged_bedroom_temperature_eta', 'sensor.merged_ensuite_temperature_eta', 'sensor.merged_kitchen_temperature_eta', 'sensor.merged_living_room_temperature_eta']",[],"[{'condition': 'state', 'entity_id': 'input_boolean.climate_automation_enabled', 'state': 'on'}, {'condition': 'state', 'entity_id': 'input_select.home_mode', 'state': 'Home'}]"
hallway,alert_skylight_open_risky_conditions,automations/automations/system/automations_template_monitoring.yaml,single,"['binary_sensor.hallway_upstairs_skylight_contact_sensor_mtr_alpha', 'input_boolean.turn_off']",[],"[{'condition': 'not', 'conditions': [{'condition': 'state', 'entity_id': 'input_boolean.skylight_alert_acknowledged', 'state': 'on'}]}, {'condition': 'template', 'value_template': ""{{ states('sensor.skylight_risk_level_gamma') != 'clear' }}""}]"
hallway,automation_downstairs_lights_motion,automations/automations/subsystems/hermes_automations_combined.yaml,single,"['binary_sensor.hallway_downstairs_motion_beta', 'script.dispatch_light_state']",[],"[{'condition': 'or', 'conditions': [{'condition': 'time', 'after': '15:00:00'}, {'condition': 'time', 'before': '09:00:00'}]}]"
kitchen,aether_kitchen_climate_control,automations/automations/climate/aether_climate_control_rewrapped.yaml,single,"['binary_sensor.kitchen_heating_needed', 'input_boolean.climate_automation_enabled', 'sensor.effective_kitchen_temperature_gamma']",[],"[{'condition': 'state', 'entity_id': 'input_boolean.climate_automation_enabled', 'state': 'on'}, {'condition': 'template', 'value_template': ""{% set window_open = is_state('binary_sensor.window_open_detected', 'on') %} {% set window_detection = is_state('input_boolean.window_open_detection', 'on') %} {{ not (window_open and window_detection) }}\n""}]"
kitchen,aether_low_temperature_alert,automations/automations/climate/aether_alerts_and_notifications_rewrapped.yaml,single,"['input_boolean.climate_automation_enabled', 'input_boolean.turn_off', 'input_select.home_mode', 'script.turn_on', 'sensor.merged_bedroom_temperature_eta', 'sensor.merged_ensuite_temperature_eta', 'sensor.merged_kitchen_temperature_eta', 'sensor.merged_living_room_temperature_eta']",[],"[{'condition': 'state', 'entity_id': 'input_boolean.climate_automation_enabled', 'state': 'on'}, {'condition': 'state', 'entity_id': 'input_select.home_mode', 'state': 'Home'}]"
living,aether_living_room_climate_control,automations/automations/climate/aether_climate_control_rewrapped.yaml,single,"['binary_sensor.living_room_heating_needed', 'input_boolean.climate_automation_enabled', 'sensor.effective_living_room_temperature_gamma']",[],"[{'condition': 'state', 'entity_id': 'input_boolean.climate_automation_enabled', 'state': 'on'}, {'condition': 'template', 'value_template': ""{% set window_open = is_state('binary_sensor.window_open_detected', 'on') %} {% set window_detection = is_state('input_boolean.window_open_detection', 'on') %} {{ not (window_open and window_detection) }}\n""}]"
living,aether_low_temperature_alert,automations/automations/climate/aether_alerts_and_notifications_rewrapped.yaml,single,"['input_boolean.climate_automation_enabled', 'input_boolean.turn_off', 'input_select.home_mode', 'script.turn_on', 'sensor.merged_bedroom_temperature_eta', 'sensor.merged_ensuite_temperature_eta', 'sensor.merged_kitchen_temperature_eta', 'sensor.merged_living_room_temperature_eta']",[],"[{'condition': 'state', 'entity_id': 'input_boolean.climate_automation_enabled', 'state': 'on'}, {'condition': 'state', 'entity_id': 'input_select.home_mode', 'state': 'Home'}]"
unassigned,aether_bedroom_climate_control,automations/automations/climate/aether_climate_control_rewrapped.yaml,single,"['binary_sensor.bedroom_heating_needed', 'input_boolean.climate_automation_enabled', 'sensor.effective_bedroom_temperature_gamma']",[],"[{'condition': 'state', 'entity_id': 'input_boolean.climate_automation_enabled', 'state': 'on'}, {'condition': 'template', 'value_template': ""{% set window_open = is_state('binary_sensor.window_open_detected', 'on') %} {% set window_detection = is_state('input_boolean.window_open_detection', 'on') %} {{ not (window_open and window_detection) }}\n""}]"
unassigned,aether_bedroom_dehumidifier_control,automations/automations/climate/aether_humidity_control_rewrapped.yaml,single,"['binary_sensor.dehumidifier_needed_bedroom', 'input_boolean.humidity_control_enabled', 'input_select.humidity_control_strategy', 'sensor.merged_bedroom_humidity_eta']",[],"[{'condition': 'state', 'entity_id': 'input_boolean.humidity_control_enabled', 'state': 'on'}]"
bedroom,aether_bedroom_climate_control,automations/automations/climate/aether_climate_control_rewrapped.yaml,single,"['binary_sensor.bedroom_heating_needed', 'input_boolean.climate_automation_enabled', 'sensor.effective_bedroom_temperature_gamma']",[],"[{'condition': 'state', 'entity_id': 'input_boolean.climate_automation_enabled', 'state': 'on'}, {'condition': 'template', 'value_template': ""{% set window_open = is_state('binary_sensor.window_open_detected', 'on') %} {% set window_detection = is_state('input_boolean.window_open_detection', 'on') %} {{ not (window_open and window_detection) }}\n""}]"
bedroom,aether_bedroom_dehumidifier_control,automations/automations/climate/aether_humidity_control_rewrapped.yaml,single,"['binary_sensor.dehumidifier_needed_bedroom', 'input_boolean.humidity_control_enabled', 'input_select.humidity_control_strategy', 'sensor.merged_bedroom_humidity_eta']",[],"[{'condition': 'state', 'entity_id': 'input_boolean.humidity_control_enabled', 'state': 'on'}]"
